"id","question_id","option_id","student_id","content","project_id","table_id","year","del_flag","create_by","create_time","update_by","update_time","remark"
1978	,310000	,,210103111020401	,"210103111020401",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
1979	,310001	,,210103111020401	,"21",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
1980	,310002	,,210103111020401	,"2101",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
1981	,310042	,,210103111020401	,"210103",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
1982	,310043	,31000355	,210103111020401	,"1",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
1983	,310044	,,210103111020401	,"11",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
1984	,310047	,,210103111020401	,"02",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
1985	,310048	,,210103111020401	,"0401",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
1986	,310049	,31000010	,210103111020401	,"1",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
1987	,310051	,31000014	,210103111020401	,"1",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
1988	,310055	,,210103111020401	,"9",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
1989	,310057	,,210103111020401	,"3",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
1990	,31011101	,,210103111020401	,"2",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
1991	,31015901	,,210103111020401	,"60",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
1992	,31001801	,,210103111020401	,"8",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
1993	,31001804	,,210103111020401	,"7",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
1994	,31001808	,,210103111020401	,"5",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
1995	,31001811	,,210103111020401	,"3",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
1996	,31001814	,,210103111020401	,"5",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
1997	,31001817	,,210103111020401	,"3",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
1998	,31001802	,,210103111020401	,"30",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
1999	,31001805	,,210103111020401	,"0",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
2000	,31001809	,,210103111020401	,"0",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
2001	,31001812	,,210103111020401	,"0",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
2002	,31001815	,,210103111020401	,"0",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
2003	,31001818	,,210103111020401	,"0",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
2004	,310050	,31000013	,210103111020401	,"2",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
2005	,310059	,31000230	,210103111020401	,"1",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
2006	,310060	,31000352	,210103111020401	,"2",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
2007	,310061	,31000350	,210103111020401	,"2",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
2008	,310062	,31000348	,210103111020401	,"2",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
2009	,310063	,31000346	,210103111020401	,"2",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
2010	,310064	,31000344	,210103111020401	,"2",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
2011	,310065	,31000342	,210103111020401	,"2",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
2012	,310067	,31000028	,210103111020401	,"2",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
2013	,310069	,31000030	,210103111020401	,"2",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
2014	,310072	,31007202	,210103111020401	,"2",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
2015	,310073	,31007302	,210103111020401	,"2",5	,6	,"2025","0","","2025-10-22 16:54:44","",,
