rule_code,target_variable,rule_type,source_variables,step_count,label,spss_source_size,java_preview
表2-1-R001,age2,COMPUTE,"EXAMINE;BIRTH;DAYS",0,"age2",120,"age2 = evalDecimal(""DATEDIFF(EXAMINE,BIRTH,\""days\"")/365"")"
表2-1-R002,ID3,COMPUTE,"PROVINCE;CITY;COUNTY;POINT;SCHOOL;GRADE;NUM",0,"ID3",128,"ID3 = evalDecimal(""((10**13)*province)+((10**11)*city)+(county*(10**9))+(point*(10**8))+(school*(10**6))+(grade*(10**4))+num"")"
表2-1-R003,ID是否一致,ROW_CHECK,"ID1;ID3",2,"ID是否一致",162,"ID是否一致 = evalDecimal(""id1 - ID3""); recode(ID是否一致 -> ID是否一致); ID是否一致 = missing(ID是否一致) || ID是否一致 != 0 ? 1 : 0"
表2-1-R004,证件位数异常,COMPUTE,"",0,"证件位数异常",55,"证件位数异常 = evalDecimal(""$SYSMIS"")"
表2-1-R005,身份证出生日期异常,COMPUTE,"",0,"身份证出生日期异常",124,"身份证出生日期异常 = evalDecimal(""$SYSMIS"")"
表2-1-R006,身份证出生日期异常,COMPUTE,"NUMBER",0,"身份证出生日期异常",298,"身份证出生日期异常 = evalDecimal(""(NUMBER(CHAR"")"
表2-1-R007,身份证出生日期异常,COMPUTE,"",0,"身份证出生日期异常",237,"身份证出生日期异常 = evalDecimal(""$SYSMIS"")"
表2-1-R008,SFZ_DATE,COMPUTE,"",0,"SFZ_DATE",115,"SFZ_DATE = evalDecimal(""CHAR"")"
表2-1-R009,ID_DATE,COMPUTE,"NUMBER;SFZ_DATE;F8",0,"ID_DATE",73,"ID_DATE = evalDecimal(""NUMBER(SFZ_DATE, F8"")"
表2-1-R010,BIRTH_DATE,COMPUTE,"XDATE",0,"BIRTH_DATE",338,"BIRTH_DATE = evalDecimal(""(XDATE"")"
表2-1-R011,身份证性别异常,COMPUTE,"",0,"身份证性别检验结果",163,"身份证性别异常 = evalDecimal(""$SYSMIS"")"
表2-1-R012,#gender_bit,COMPUTE,"NUMBER",0,"#gender_bit",139,"#gender_bit = evalDecimal(""NUMBER(CHAR"")"
表2-1-R013,身份证性别异常,COMPUTE,"MOD;GENDER_BIT;GENDER",0,"身份证性别检验结果",187,"身份证性别异常 = evalDecimal(""((MOD(#gender_bit, 2) = 1 AND gender = 2) OR (MOD(#gender_bit, 2) = 0 AND gender = 1))"")"
表2-1-R014,age,COMPUTE,"EXAMINE;BIRTH;YEARS",0,"age",206,"age = evalDecimal(""DATEDIF(EXAMINE, BIRTH, \""years\"")"")"
表2-1-R015,BMI,ROW_CHECK,"RND;Q7;Q6",1,"BMI",54,"BMI = evalDecimal(""RND(Q7 * 10000 / (Q6 * Q6),0""); BMI = missing(BMI) || BMI != 0 ? 1 : 0"
