"id","question_id","option_id","student_id","content","project_id","table_id","year","del_flag","create_by","create_time","update_by","update_time","remark"
"11840","330001",,"210102117410111","210102117410111","2","8","2025","0","","28/8/2025 15:38:46","",,
"11841","330002",,"210102117410111","21","2","8","2025","0","","28/8/2025 15:38:46","",,
"11842","330003",,"210102117410111","2101","2","8","2025","0","","28/8/2025 15:38:46","",,
"11843","330004",,"210102117410111","210102","2","8","2025","0","","28/8/2025 15:38:46","",,
"11844","330005","33000501","210102117410111","1","2","8","2025","0","","28/8/2025 15:38:46","",,
"11845","330006",,"210102117410111","17","2","8","2025","0","","28/8/2025 15:38:46","",,
"11846","330009",,"210102117410111","41","2","8","2025","0","","28/8/2025 15:38:46","",,
"11847","330010",,"210102117410111","0111","2","8","2025","0","","28/8/2025 15:38:46","",,
"11848","330011","33001102","210102117410111","2","2","8","2025","0","","28/8/2025 15:38:46","",,
"11849","330013","33001301","210102117410111","1","2","8","2025","0","","28/8/2025 15:38:46","",,
"11850","330015","33001501","210102117410111","1","2","8","2025","0","","28/8/2025 15:38:46","",,
"11851","330026",,"210102117410111","同一种调调","2","8","2025","0","","28/8/2025 15:38:46","",,
"11852","330017",,"210102117410111","3","2","8","2025","0","","28/8/2025 15:38:46","",,
"11853","330226",,"210102117410111","2","2","8","2025","0","","28/8/2025 15:38:46","",,
"11854","330227",,"210102117410111","1","2","8","2025","0","","28/8/2025 15:38:46","",,
"11855","330229",,"210102117410111","2","2","8","2025","0","","28/8/2025 15:38:46","",,
"11856","330230",,"210102117410111","2","2","8","2025","0","","28/8/2025 15:38:46","",,
"11857","330012","33001202","210102117410111","2","2","8","2025","0","","28/8/2025 15:38:46","",,
"11858","330019","33001901","210102117410111","1","2","8","2025","0","","28/8/2025 15:38:46","",,
"11859","330020","33002001","210102117410111","1","2","8","2025","0","","28/8/2025 15:38:46","",,
"11860","330021","33002101","210102117410111","1","2","8","2025","0","","28/8/2025 15:38:46","",,
"11861","330022","33002201","210102117410111","1","2","8","2025","0","","28/8/2025 15:38:46","",,
"11862","330023","33002301","210102117410111","1","2","8","2025","0","","28/8/2025 15:38:46","",,
"11863","330024","33002401","210102117410111","1","2","8","2025","0","","28/8/2025 15:38:46","",,
"11864","330025","33002501","210102117410111","1","2","8","2025","0","","28/8/2025 15:38:46","",,
